Instrument,Pointsize,AssetClass,Currency,Shortonly,IBSymbol,Exchange,SecType,MinMove
FOX-USDT,1,Crypto,USDT,FALSE,FOX-USDT,Coinbase,Crypto,
QSP-USDT,1,Crypto,USDT,FALSE,QSP-USDT,Coinbase,Crypto,
UPI-USDT,1,Crypto,USDT,FALSE,UPI-USDT,Coinbase,Crypto,
CRO-USDT,1,Crypto,USDT,FALSE,CRO-USDT,Coinbase,Crypto,
ASM-USDT,1,Crypto,USDT,FALSE,ASM-USDT,Coinbase,Crypto,
COVAL-USDT,1,Crypto,USDT,FALSE,COVAL-USDT,Coinbase,Crypto,
BTRST-USDT,1,Crypto,USDT,FALSE,BTRST-USDT,Coinbase,Crypto,
SHPING-USDT,1,Crypto,USDT,FALSE,SHPING-USDT,Coinbase,Crypto,
DESO-USDT,1,Crypto,USDT,FALSE,DESO-USDT,Coinbase,Crypto,
TRAC-USDT,1,Crypto,USDT,FALSE,TRAC-USDT,Coinbase,Crypto,
MCO2-USDT,1,Crypto,USDT,FALSE,MCO2-USDT,Coinbase,Crypto,
DDX-USDT,1,Crypto,USDT,FALSE,DDX-USDT,Coinbase,Crypto,
SUKU-USDT,1,Crypto,USDT,FALSE,SUKU-USDT,Coinbase,Crypto,
RLY-USDT,1,Crypto,USDT,FALSE,RLY-USDT,Coinbase,Crypto,
NCT-USDT,1,Crypto,USDT,FALSE,NCT-USDT,Coinbase,Crypto,
AIOZ-USDT,1,Crypto,USDT,FALSE,AIOZ-USDT,Coinbase,Crypto,
XYO-USDT,1,Crypto,USDT,FALSE,XYO-USDT,Coinbase,Crypto,
CTX-USDT,1,Crypto,USDT,FALSE,CTX-USDT,Coinbase,Crypto,
KRL-USDT,1,Crypto,USDT,FALSE,KRL-USDT,Coinbase,Crypto,
LCX-USDT,1,Crypto,USDT,FALSE,LCX-USDT,Coinbase,Crypto,
LQTY-USDT,1,Crypto,USDT,FALSE,LQTY-USDT,Coinbase,Crypto,
WCFG-USDT,1,Crypto,USDT,FALSE,WCFG-USDT,Coinbase,Crypto,
XCN-USDT,1,Crypto,USDT,FALSE,XCN-USDT,Coinbase,Crypto,
PRQ-USDT,1,Crypto,USDT,FALSE,PRQ-USDT,Coinbase,Crypto,
WAMPL-USDT,1,Crypto,USDT,FALSE,WAMPL-USDT,Coinbase,Crypto,
ELA-USDT,1,Crypto,USDT,FALSE,ELA-USDT,Coinbase,Crypto,
MATH-USDT,1,Crypto,USDT,FALSE,MATH-USDT,Coinbase,Crypto,
BIT-USDT,1,Crypto,USDT,FALSE,BIT-USDT,Coinbase,Crypto,
MEDIA-USDT,1,Crypto,USDT,FALSE,MEDIA-USDT,Coinbase,Crypto,
INDEX-USDT,1,Crypto,USDT,FALSE,INDEX-USDT,Coinbase,Crypto,
DYP-USDT,1,Crypto,USDT,FALSE,DYP-USDT,Coinbase,Crypto,
DEXT-USDT,1,Crypto,USDT,FALSE,DEXT-USDT,Coinbase,Crypto,
FORT-USDT,1,Crypto,USDT,FALSE,FORT-USDT,Coinbase,Crypto,
TIME-USDT,1,Crypto,USDT,FALSE,TIME-USDT,Coinbase,Crypto,
HOPR-USDT,1,Crypto,USDT,FALSE,HOPR-USDT,Coinbase,Crypto,
METIS-USDT,1,Crypto,USDT,FALSE,METIS-USDT,Coinbase,Crypto,
NEST-USDT,1,Crypto,USDT,FALSE,NEST-USDT,Coinbase,Crypto,
SYLO-USDT,1,Crypto,USDT,FALSE,SYLO-USDT,Coinbase,Crypto,
STG-USDT,1,Crypto,USDT,FALSE,STG-USDT,Coinbase,Crypto,
BOBA-USDT,1,Crypto,USDT,FALSE,BOBA-USDT,Coinbase,Crypto,
BTC-USDT,1,Crypto,USDT,FALSE,BOBA-USDT,Coinbase,Crypto,
ETH-USDT,1,Crypto,USDT,FALSE,BOBA-USDT,Coinbase,Crypto,

